departamento;distrito;barrio
CANINDEYU;YBYRAROBANA;ARROYO MOKOI
;;
CANINDEYU;LA PALOMA;COLONIA GUADALUPE
;;
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;1RO DE MARZO
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;SAN PEDRO
;;
;;
CANINDEYU;YPE JHU;KA'AGUY PORA
;;
CANINDEYU;YPE JHU;SAN ROQUE GONZALEZ
;;
;;
;;
CANINDEYU;ITANARA;ESTANCIA KARY
CANINDEYU;VILLA YGATIMÍ;BRITEZ KUE LAS MERCEDES
;;
CANINDEYU;VILLA YGATIMÍ;JEJUI MI
CANINDEYU;VILLA YGATIMÍ;KARUPERA 2
CANINDEYU;VILLA YGATIMÍ;ÑANDU ROCAI
;;
CANINDEYU;VILLA YGATIMÍ;ARROYO GUASU
;;
CANINDEYU;VILLA YGATIMÍ;NUEVA ALIANZA
;;
CANINDEYU;CURUGUATY;CALLE 1
CANINDEYU;CURUGUATY;AGUA'E
CANINDEYU;CURUGUATY;5TO ENCUADRE 1RA LINEA
CANINDEYU;CURUGUATY;TAKUARATY
CANINDEYU;CURUGUATY;5TA LINEA ACEPAR
;;
CANINDEYU;CURUGUATY;KANGUERY MARACANA
;;
CANINDEYU;CURUGUATY;NARANJATY
CANINDEYU;CURUGUATY;SAN ISIDRO
;;
CANINDEYU;CORPUS CHRISTI;CAYE KUE
CANINDEYU;SALTOS DEL GUAIRA;GUAVIRA
CANINDEYU;SALTOS DEL GUAIRA;PUERTO ADELA
CENTRAL;YPANE;YTORORO
CENTRAL;LUQUE;COSTA SOSA
CENTRAL;LIMPIO;ASENT. ESPITIRU SANTO  ISLA AVEIRO
CENTRAL;LIMPIO;ISLA AVEIRO
CENTRAL;LIMPIO;COLONIA JUAN DE SALAZAR
;;
CENTRAL;CAPIATA;TOLEDO CAÑADA
CONCEPCION;HORQUETA;SAN PEDRO
;;
;;
CENTRAL;CAPIATA;LOMA BARRERO
CENTRAL;CAPIATA;KENNEDY
CENTRAL;AREGUA;ASENT. VIRGEN DE FATIMA
CONCEPCION;SGTO. JOSE FELIX LOPEZ;ASENT. BARRIO HERMOSA
CONCEPCION;AZOTEY;CHINI
CONCEPCION;AZOTEY;SAN ANTONIO
CONCEPCION;YVY YA´U;TAPYTANGUA
;;
CONCEPCION;YVY YA´U;NUEVA ESPERANZA
CONCEPCION;LORETO;HUGUA TORALES SAN ROQUE
;;
CONCEPCION;YVY YA´U;EST SANTA RITA
;;
CONCEPCION;YVY YA´U;ÑEPYTYVO
;;
;;
;;
CONCEPCION;CONCEPCION;PASO HORQUETA
;;
CORDILLERA;SAN JOSE OBRERO;GASORY
CORDILLERA;VALENZUELA;ITA MOROTI
CORDILLERA;VALENZUELA;GUASU KUA
CORDILLERA;SAN BERNARDINO;HERIBERTA MATIAUDA
;;
;;
;;
ITAPUA;SAN RAFAEL DEL PARANA;NARANJITO
CORDILLERA;EUSEBIO AYALA;AGUAITY
SAN PEDRO;SAN PEDRO DEL YKUAMANDIYU;SAN IGNACIO
CORDILLERA;NUEVA COLOMBIA;ISLA ALTA
CORDILLERA;LOMA GRANDE;SANDIATY
CORDILLERA;ITACURUBI DE LA CORDILLERA;POTRERO ANGELITO
;;
CORDILLERA;EUSEBIO AYALA;CAÑADA DEL CARMEN
CORDILLERA;EUSEBIO AYALA;SAN BLAS
GUAIRA;NATALICIO TALAVERA;SEGUNDA LINEA
GUAIRA;JOSE FASSARDI;SANTA CATALINA
GUAIRA;ITURBE;CANDEA MI
GUAIRA;ITURBE;ITACURUBI
GUAIRA;ITURBE;CAPITAN BRIZUELA
;;
GUAIRA;ITURBE;CONCEPCION MI
GUAIRA;ITAPE;ITAPE HUGUA
GUAIRA;ITAPE;POTRERO RAMIREZ
GUAIRA;ITAPE;CERRO GUY
GUAIRA;GENERAL EUGENIO A. GARAY;KIRAYTY
GUAIRA;GENERAL EUGENIO A. GARAY;MBOKAJA
;;
;;
;;
ITAPUA;SAN RAFAEL DEL PARANA;LINEA PETRIL
GUAIRA;GENERAL EUGENIO A. GARAY;KILOMETRO 29
;;
GUAIRA;COLONIA INDEPENDENCIA;PRIMAVERA DE JESUS
ITAPUA;ENCARNACION;ASENT. NUEVA ESPERANZA
GUAIRA;MAURICIO JOSE TROCHE;VIRGEN DEL HUERTO
;;
GUAIRA;BORJA;BOQUERON
ITAPUA;SAN PEDRO DEL PARANA;SAN SOLANO
ITAPUA;ITAPUA POTY;URBANO
ITAPUA;ITAPUA POTY;EDELIRA 60
;;
ITAPUA;ITAPUA POTY;SAN BUENAVENTURA
;;
;;
;;
ITAPUA;PIRAPO;COLONIA PIRAPO KILOMETRO. 25
;;
ITAPUA;PIRAPO;PIRAPO KILOMETRO. 23
ITAPUA;PIRAPO;CALLE 2
ITAPUA;LA PAZ;FUJI
ITAPUA;TOMAS ROMERO PEREIRA;ASENT. VIRGEN DEL ROSARIO
ITAPUA;ALTO VERA;ALTO VERA KILOMETRO 4
ITAPUA;ALTO VERA;PERLITA
ITAPUA;TOMAS ROMERO PEREIRA;SAN IGNACIO
ITAPUA;TOMAS ROMERO PEREIRA;SAN BALTAZAR
ITAPUA;TOMAS ROMERO PEREIRA;MARIA AUXILIADORA
;;
;;
ITAPUA;ALTO VERA;ASENT. LA AMISTAD
ITAPUA;TOMAS ROMERO PEREIRA;VIRGEN DEL CARMEN
ITAPUA;TRINIDAD;SAN MIGUEL
;;
ITAPUA;EDELIRA;EDELIRA 28
;;
ITAPUA;EDELIRA;PIRAPEY 30 AL 35
;;
ITAPUA;EDELIRA;EDELIRA 31 AL 36
ITAPUA;SAN PEDRO DEL PARANA;TARUMA
ITAPUA;SAN PEDRO DEL PARANA;LAS MERCEDES
ITAPUA;SAN PEDRO DEL PARANA;SAN ISIDRO
SAN PEDRO;GENERAL RESQUIN;ISLA ALTA
SAN PEDRO;UNION;SAN ROQUE
ITAPUA;SAN PEDRO DEL PARANA;YSYPOJU
ITAPUA;HOHENAU;SAN ROQUE
;;
;;
ITAPUA;GENERAL ARTIGAS;KAMBAY
ITAPUA;FRAM;FUYI
ITAPUA;BELLA VISTA;ZONA FORDI 18
ITAPUA;NATALIO;PUERTO TRIUNFO SAN JOSE
ITAPUA;NATALIO;PUERTO TRIUNFO NIÑO JESUS
ITAPUA;NATALIO;PUERTO TRIUNFO
ITAPUA;CORONEL BOGADO;CONAVI
ITAPUA;CARLOS ANTONIO LOPEZ;ASENT. PRIMAVERA
ITAPUA;CORONEL BOGADO;KURUÑAI
ITAPUA;CARMEN DEL PARANA;HUGUA KARE
ITAPUA;CARMEN DEL PARANA;KA'ATYMI
ITAPUA;CARMEN DEL PARANA;KARAGUATA
ITAPUA;CAPITAN MEZA;EDELIRA 1
ITAPUA;CAPITAN MEZA;EDELIRA KILOMETRO 1 AL 5
SAN PEDRO;GENERAL RESQUIN;COSTA RICA
ITAPUA;CAMBYRETA;COLONIA CAMBYRETA
ITAPUA;ENCARNACION;BOQUERON
ITAPUA;ENCARNACION;CONAVI KILOMETRO.10  SUB-URBANO
ITAPUA;ENCARNACION;SAN ANTONIO
PARAGUARI;YVYCUI;ISLA YVATE
MISIONES;SANTA ROSA;SAN SOLANO SUB-URBANO
MISIONES;SAN IGNACIO;TAHYI TY
MISIONES;SAN JUAN BAUTISTA;CONAVI 1
;;
;;
;;
MISIONES;SAN JUAN BAUTISTA;COLONIA IBAÑEZ ROJAS
MISIONES;SAN JUAN BAUTISTA;CONAVI 2
PARAGUARI;YVYCUI;SANTA ANGELA
PARAGUARI;YVYCUI;SANTA TERESITA
PARAGUARI;YVYCUI;YVY KU'I PUNTA
PARAGUARI;YVYCUI;SANTA ANGELA - SUB-URBANO
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;ALEGRIA
PARAGUARI;SAN ROQUE GONZALEZ;MOQUETE
PARAGUARI;QUYQUYHO;SAN MIGUEL
;;
PARAGUARI;QUIINDY;NIÑO TAKUARY
PARAGUARI;QUIINDY;MENDIETA KUE
PARAGUARI;QUIINDY;CAPILLA TUJA
PARAGUARI;QUIINDY;VALLE APUA
PARAGUARI;QUIINDY;LOMA PYTA
;;
PARAGUARI;CAAPUCU;COLONIA CNEL. JOSE V. MONGELOS
SAN PEDRO;TACUATI;ASENT. 8
SAN PEDRO;TACUATI;COLONIA OÑONDIVEPA
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;COM INDIG NICH´A TOYISH-19 DE ABRIL
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
PRESIDENTE HAYES;GENERAL JOSE MARIA BRUGUEZ;ZONA CADETE PANDO
PARAGUARI;LA COLMENA;VIRGEN DEL CARMEN
PARAGUARI;CARAPEGUA;SAN MIGUEL
;;
PARAGUARI;CAAPUCU;ITAPE
PARAGUARI;CAAPUCU;TAPE GUASU
;;
;;
;;
PARAGUARI;CAAPUCU;CHARARA
PARAGUARI;ACAHAY;YEGUARISO
PARAGUARI;ACAHAY;VALOIS RIVAROLA
PARAGUARI;PARAGUARI;ESTANCIA ALFONSO
PRESIDENTE HAYES;TTE. ESTEBAN MARTINEZ;TTE. ROJAS SILVA SUB-URBANO
;;
;;
;;
;;
;;
PRESIDENTE HAYES;VILLA HAYES;POZO COLORADO
SAN PEDRO;SAN PABLO;SAN ISIDRO
CAAGUAZU;CAAGUAZU;COM INDIG ARROYO GUAZU
ALTO PARANA;MINGA GUAZU;DOMINGO SAVIO
SAN PEDRO;VILLA DEL ROSARIO;MBOPI KUA
ALTO PARANA;MINGA GUAZU;MARIA AUXILIADORA
SAN PEDRO;LIBERACION;SANTA LUCIA
SAN PEDRO;LIBERACION;COLONIA 14 DE MAYO
SAN PEDRO;LIBERACION;SANTA LIBRADA
SAN PEDRO;LIBERACION;OVETENSE
SAN PEDRO;LIBERACION;SAN JORGE
;;
SAN PEDRO;SANTA ROSA DEL AGUARAY;ASENT. JAGUARETE  9 DE AGOSTO
SAN PEDRO;YRYVU CUA;ASENT. NUEVA ALIANZA
;;
SAN PEDRO;SANTA ROSA DEL AGUARAY;SANTA BARBARA CALLE  VIRGEN DE FATIMA
SAN PEDRO;SANTA ROSA DEL AGUARAY;VILLA DEL MAESTRO
SAN PEDRO;CAPIIBARY;ASENT. 12 DE JUNIO
SAN PEDRO;CAPIIBARY;AÑA RETANGUE
SAN PEDRO;GUAJAYVI;12 DE JUNIO
SAN PEDRO;GUAJAYVI;TORO PIRU
SAN PEDRO;YATAITY DEL NORTE;ITA KUATIA
SAN PEDRO;YATAITY DEL NORTE;TUNA
SAN PEDRO;TACUATI;2DA ZONA
SAN PEDRO;TACUATI;LOMA PYTA
;;
SAN PEDRO;TACUATI;ESTANCIA ALEGRIA
SAN PEDRO;TACUATI;ASENT. YVAMINDY
SAN PEDRO;TACUATI;ESTANCIA PERONI
SAN PEDRO;SAN ESTANISLAO;ASENT. TACUARA
SAN PEDRO;SAN ESTANISLAO;GUAICA SUB-URBANO
SAN PEDRO;SAN ESTANISLAO;ASENT. LOURDES
SAN PEDRO;NUEVA GERMANIA;CHACO'I
SAN PEDRO;ITACURUBI DEL ROSARIO;COLONIA FRIESLAND SUB-URBANO
SAN PEDRO;GENERAL ELIZARDO AQUINO;HUGUA PO´I
SAN PEDRO;CHORE;SANTA LUCIA 2
SAN PEDRO;CHORE;HUGUA POTI
SAN PEDRO;ANTEQUERA;ESTANCIA VIRADOLCE
SAN PEDRO;SAN PEDRO DEL YKUAMANDIYU;GARRIGOZA
SAN PEDRO;SAN PEDRO DEL YKUAMANDIYU;ASENT. SANTA CATALINA
ÑEEMBUCU;VILLA OLIVA;KARANDAYTY
ÑEEMBUCU;TACUARAS;COLONIA MBURICA
ALTO PARANA;MINGA GUAZU;VILLA NELIDA
ÑEEMBUCU;SAN JUAN BAUTISTA DE ÑEEMBUCU;CIERVO BLANCO
;;
ÑEEMBUCU;ISLA UMBU;COSTA PUKU
ÑEEMBUCU;HUMAITA;ARROYO HAVO
ÑEEMBUCU;PILAR;VALLE APU'A
ÑEEMBUCU;PILAR;MEDINA
;;
ÑEEMBUCU;PILAR;VILLA PASO
ASUNCION;ASUNCION;TEMBETARY
BOQUERON;LOMA PLATA;COM INDIG YALVE SANGA-SAMARIA
CAAGUAZU;REPATRIACION;COM INDIG AGUILA NEGRA
CAAGUAZU;REPATRIACION;COM INDIG PINDO I
ASUNCION;ASUNCION;ITA PYTA PUNTA
BOQUERON;LOMA PLATA;COM INDIG YALVE SANGA-BETANIA
CORDILLERA;MBOCAYATY DEL YHAGUY;RIO NEGRO SANTA LUCIA
GUAIRA;PASO YOBAI;ZANJA PYTA
CAAZAPA;ABAI;BORDA
GUAIRA;PASO YOBAI;MANGRULLO
;;
ALTO PARANA;SAN CRISTOBAL;SAN ANTONIO
GUAIRA;PASO YOBAI;NUEVA GUAIRA
GUAIRA;PASO YOBAI;SANTA MARIA
GUAIRA;PASO YOBAI;COLONIA NANSSEN
GUAIRA;PASO YOBAI;SAN AGUSTIN SUB-URBANO
;;
ALTO PARANA;NARANJAL;10 DE MAYO
CAAZAPA;ABAI;SAN ROQUE
CAAZAPA;ABAI;SAN JOSE CRISTAL
CAAZAPA;ABAI;ENTRE RIOS
CAAZAPA;ABAI;LINEA KUÑATAI
ALTO PARANA;ITAKYRY;COM INDIG PASO CADENA
CAAZAPA;ABAI;RESTANTE
;;
;;
;;
;;
CAAZAPA;ABAI;GOLONDRINA
;;
CAAZAPA;ABAI;SANTA TERESA
;;
CAAZAPA;ABAI;CANTINA CUE
BOQUERON;MARISCAL ESTIGARRIBIA;COM INDIG SIRACUA
;;
ITAPUA;CAPITAN MIRANDA;FEDERICO CHAVEZ
AMAMBAY;PEDRO JUAN CABALLERO;COM INDIG PANAMBI´Y
CENTRAL;LUQUE;COM INDIG  YVAPOVONDY
ALTO PARANA;NARANJAL;LINEA SAN PEDRO
;;
;;
;;
ALTO PARANA;NARANJAL;PRIMAVERA
ALTO PARANA;NARANJAL;AURORA
ALTO PARANA;NARANJAL;COM INDIG AURORA
ALTO PARANA;IRUÑA;KAAGUY PORA
ALTO PARANA;IRUÑA;SAN PEDRO
;;
ALTO PARANA;DR. RAUL PEÑA;RAUL PEÑA LINEA SAN PABLO
ALTO PARANA;DR. RAUL PEÑA;RAUL PEÑA LINEA PRIMERO DE MARZO
SAN PEDRO;TACUATI;COM INDIG KAPI´ITINDY
ALTO PARANA;ITAKYRY;COM INDIG SAN FERNANDO
BOQUERON;MARISCAL ESTIGARRIBIA;COM INDIG CAMPO AMPÚ
BOQUERON;LOMA PLATA;COM INDIG YALVE SANGA-CANAUSA
CAAGUAZU;NUEVA TOLEDO;COM INDIG ÑU AVIJU - COLONIA MENNONITA
CAAGUAZU;YHU;COM INDIG TORO CANGUE
CANINDEYU;CURUGUATY;COM INDIG 1° DE MARZO
CANINDEYU;VILLA YGATIMÍ;COM INDIG ÑU VERA KATU
CONCEPCION;SAN LAZARO;COM INDIG APA COSTA
CONCEPCION;HORQUETA;COM INDIG CURUPAY LOMA
ITAPUA;SAN COSME Y DAMIAN;COM INDIG PINDO
ITAPUA;CAPITAN MEZA;COM INDIG ARROYO KORA
ITAPUA;ENCARNACION;COM INDIG MAKA(ITA PASO)
PRESIDENTE HAYES;VILLA HAYES;COM INDIG ALBORADA
CAAGUAZU;SIMON BOLIVAR;TORIN CUE
CAAGUAZU;SIMON BOLIVAR;ÑU PY
ALTO PARANA;MINGA GUAZU;JARDIN DEL ORIENTE
ALTO PARANA;MINGA GUAZU;FRACCION LOS ALAMOS
ALTO PARANA;MINGA GUAZU;FRACCION LAS PALMERAS
ALTO PARANA;MINGA GUAZU;PA'I CORONEL
BOQUERON;MARISCAL ESTIGARRIBIA;ZONA LA ROSALEDA
ITAPUA;TOMAS ROMERO PEREIRA;LAS MERCEDES
CAAGUAZU;J EULOGIO ESTIGARRIBIA;COM INDIG CHEIRO ARAPOTY
ALTO PARANA;TAVAPY;ASENT. FATIMA
ALTO PARANA;TAVAPY;SAN RAMON
ALTO PARANA;TAVAPY;FULGENCIO R. MORENO
CAAGUAZU;NUEVA LONDRES;NUEVA AUSTRALIA
ALTO PARANA;MINGA PORA;SAN MIGUEL
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;NARANJAL
CAAGUAZU;RAUL ARSENIO OVIEDO;BUENA VISTA
ALTO PARANA;TAVAPY;8 DE DICIEMBRE
CAAGUAZU;RAUL ARSENIO OVIEDO;SAN ANTONIO
BOQUERON;FILADELFIA;VILLA PRIMAVERA
ALTO PARANA;MINGA GUAZU;YHAGUY
ALTO PARANA;TAVAPY;SANTA LUCIA
ALTO PARANA;TAVAPY;FATIMA
ALTO PARANA;TAVAPY;SAN JOSE
ALTO PARANA;TAVAPY;SAN ANTONIO
ALTO PARANA;SANTA RITA;FRACCION SANTA LUCIA
ALTO PARANA;TAVAPY;ASENT. SEBASTIAN LARROSA
CAAGUAZU;CAAGUAZU;1RA LINEA BALANZÁ
ALTO PARANA;TAVAPY;DOLORES
BOQUERON;LOMA PLATA;COM INDIG YALVE SANGA-CESAREA
ALTO PARANA;SANTA RITA;FRACCION DEWES
ALTO PARANA;SANTA RITA;SAN JOSE
CENTRAL;YPANE;ASENT. MANDARINAL
ALTO PARANA;TAVAPY;TAVAPY 2
ALTO PARANA;SANTA ROSA DEL MONDAY;GUARANI
ALTO PARANA;SANTA FE DEL PARANA;GLEVA 7
ALTO PARANA;SANTA FE DEL PARANA;GLEVA 23 COLONIA ITAIPU
ALTO PARANA;ÑACUNDAY;LOMAS VALENTINAS SUB-URBANO
ALTO PARANA;MBARACAYU;GENERAL DIAZ - URBANO
ALTO PARANA;YGUAZU;CENTRO URBANO
ALTO PARANA;SANTA ROSA DEL MONDAY;CURUPAYTY SUB-URBANO
ALTO PARANA;SANTA FE DEL PARANA;GLEVA 5 PIKYRY
ALTO PARANA;JUAN E. O´LEARY;KO'E RORY
ALTO PARANA;MINGA GUAZU;CALLE 24 MONDAY SUB-URBANO
ALTO PARANA;SANTA FE DEL PARANA;GLEVA 12 GENERAL DIAZ
ALTO PARANA;JUAN E. O´LEARY;KO'E RORY SUB-URBANO
ITAPUA;CORONEL BOGADO;NACIONAL
ALTO PARANA;SANTA RITA;FRACCION LA AMISTAD
BOQUERON;LOMA PLATA;POZO GRANDE
ALTO PARANA;SANTA FE DEL PARANA;PYKYRY
ALTO PARANA;MINGA GUAZU;SAN ANTONIO
ALTO PARANA;SAN ALBERTO;SAN FRANCISCO GLEVA 8 SUB-URBANO
ALTO PARANA;SANTA FE DEL PARANA;GLEVA 11
ALTO PARAGUAY;PUERTO CASADO;SAN MIGUEL
ALTO PARANA;MINGA GUAZU;ASENT. TAPYI
ALTO PARANA;SANTA FE DEL PARANA;ASENT. MARACAMOA
ALTO PARANA;SAN ALBERTO;CENTRO
CAAGUAZU;SAN JOSE DE LOS ARROYOS;MONTE ALTO
SAN PEDRO;LIMA;INDIO GUAIRAYU
ALTO PARANA;SANTA FE DEL PARANA;SANTA FE NUEVA ESPERANZA
ALTO PARANA;SAN ALBERTO;SANTA MARIA
CAAGUAZU;CAAGUAZU;IPVU
ALTO PARANA;SAN ALBERTO;ITAIPU PORA
ALTO PARANA;SAN ALBERTO;PORTAL
ALTO PARANA;SAN ALBERTO;LINEA DE NAVEGACION
ALTO PARANA;SAN ALBERTO;ITAIPYTE
ALTO PARANA;SANTA RITA;BELLA VISTA
SAN PEDRO;CHORE;KOKUERA CALLE SAN ANTONIO
ALTO PARANA;SAN ALBERTO;GUARAPUABA
ALTO PARANA;SAN ALBERTO;SAN ANTONIO
ALTO PARANA;SAN ALBERTO;SANTO TOMAS
ALTO PARANA;SAN ALBERTO;LAGUNA
ALTO PARANA;SAN ALBERTO;SAN ISIDRO
ALTO PARANA;SAN ALBERTO;MARIA AUXILIADORA
;;
AMAMBAY;PEDRO JUAN CABALLERO;COM INDIG JAKAIRA
ALTO PARANA;SAN ALBERTO;SANTA ROSA
ALTO PARANA;SAN ALBERTO;CRUCE SAN ALBERTO SUB-URBANO
CONCEPCION;SAN LAZARO;VALLEMI SAN CARLOS SUB-URBANO
ALTO PARANA;SAN ALBERTO;SEXTA LINEA
ALTO PARANA;SAN ALBERTO;SANTA TERESA
ALTO PARANA;SAN ALBERTO;8 DE DICIEMBRE
ALTO PARANA;SAN ALBERTO;SAN PATRICIO
ALTO PARANA;SAN ALBERTO;BETARRAN
AMAMBAY;PEDRO JUAN CABALLERO;SAN ANTONIO
ALTO PARANA;SAN ALBERTO;LOTE 9
ALTO PARANA;SANTA RITA;ESQUINA GAUCHA
ALTO PARANA;MBARACAYU;ASENT. 1RO DE MAYO
ALTO PARANA;MINGA PORA;SEGUNDA LINEA OESTE
ALTO PARANA;SAN ALBERTO;SAN ALBERTO
ALTO PARANA;SAN ALBERTO;VILLA DEPORTIVA
ALTO PARANA;MBARACAYU;ASENT. LA AMISTAD
ALTO PARANA;MBARACAYU;MBARACAYU CENTRO SUB-URBANO
ALTO PARANA;MINGA GUAZU;FRACCION SAN MIGUEL
ALTO PARANA;MBARACAYU;BARRO NEGRO
ALTO PARANA;MINGA PORA;LIMOY SUB-URBANO
ALTO PARANA;MBARACAYU;ZONA ESTANCIA ITAVO
ALTO PARANA;SANTA RITA;UNION
CORDILLERA;PRIMERO DE MARZO;VIRGEN DE LOS REMEDIOS
ALTO PARANA;MBARACAYU;BELLA VISTA
ALTO PARANA;MBARACAYU;PROCOPIO SUB-URBANO
ALTO PARANA;SANTA RITA;JARDIN AMERICA
ALTO PARANA;MBARACAYU;NUEVA ESPERANZA
ALTO PARANA;MBARACAYU;PROCOPIO
CAAGUAZU;CAAGUAZU;SAN LUIS 1
ALTO PARANA;JUAN E. O´LEARY;CRISTO REY
ALTO PARANA;MBARACAYU;LA PALOMA BLANCA
SAN PEDRO;YATAITY DEL NORTE;SAN MIGUEL
ALTO PARANA;MBARACAYU;CRUCE MBARACAYU
SAN PEDRO;TACUATI;6 DE ENERO
ALTO PARANA;MBARACAYU;SAN ANTONIO
ALTO PARANA;SANTA RITA;BUEN JESUS
ITAPUA;ENCARNACION;JUAN LEON MALLORQUIN
ALTO PARANA;SANTA ROSA DEL MONDAY;FRANCES KUE
BOQUERON;FILADELFIA;CRUCE FILADELFIA
SAN PEDRO;CAPIIBARY;ASENT. 4 DE MAYO
ALTO PARANA;MBARACAYU;GLEVA 4 MBARACAYU
ITAPUA;CAPITAN MEZA;SAN MIGUEL
ALTO PARANA;MINGA PORA;SAN ROQUE
ALTO PARANA;MINGA PORA;QUINTA LINEA
ALTO PARANA;MINGA PORA;VIRGEN DE FATIMA
CAAGUAZU;LA PASTORA;SAN JUAN
ALTO PARANA;SANTA RITA;SANTA LUCIA
CAAGUAZU;CAAGUAZU;NARANJAL
ALTO PARANA;SANTA RITA;LOS MAIZALES
ALTO PARANA;MINGA PORA;SAN ISIDRO PRIMAVERA
SAN PEDRO;YATAITY DEL NORTE;8 DE DICIEMBRE
ALTO PARANA;MINGA PORA;SAN JORGE
ALTO PARANA;MINGA PORA;8 DE DICIEMBRE
PRESIDENTE HAYES;VILLA HAYES;COM INDIG SAWHOYAMAXA-KILOMETRO 16
ALTO PARANA;MINGA GUAZU;CEDRALES
ITAPUA;TOMAS ROMERO PEREIRA;SAN BLAS SUB-URBANO
ALTO PARANA;MINGA PORA;TERCERA LINEA OESTE
;;
ALTO PARANA;MINGA PORA;COLONIA GUARANI
CENTRAL;ITAUGUA;CONAVI MBOKAJATY 3
ALTO PARANA;MINGA PORA;KUARAHY RESE
ALTO PARANA;MINGA PORA;ASENT. 4 PALMAS
ALTO PARANA;MINGA PORA;QUINTA LINEA OESTE
ALTO PARANA;SANTA RITA;FRACCION SCALIA
ALTO PARANA;MINGA PORA;SEXTA LINEA OESTE
BOQUERON;LOMA PLATA;COM INDIG YALVE SANGA-CAMPO BELLO
BOQUERON;MARISCAL ESTIGARRIBIA;ZONA PELICANO
ALTO PARANA;MINGA GUAZU;CENTRO
ALTO PARANA;MINGA PORA;GLEVA 8 Y 9
ALTO PARANA;SANTA RITA;CERRO LARGO SUB-URBANO
CORDILLERA;TOBATI;INMACULADA CONCEPCION
ALTO PARANA;MINGA PORA;COOPASAN
ALTO PARANA;MINGA PORA;SAN LORENZO SUB URBANO
;;
ALTO PARANA;MINGA PORA;SAN LORENZO
ALTO PARANA;MINGA PORA;SEGUNDA LINEA
ALTO PARANA;MINGA PORA;SAN ISIDRO
ALTO PARANA;MINGA PORA;SAN FRANCISCO
ALTO PARANA;SANTA ROSA DEL MONDAY;SANTA ROSA DEL MONDAY NORTE
ALTO PARANA;SANTA RITA;PORTAL SINUELO
ALTO PARANA;SANTA ROSA DEL MONDAY;KARAJA
ALTO PARANA;MINGA GUAZU;KILOMETRO 30 SAN JORGE SUB-URBANO
ALTO PARANA;SANTA RITA;NUEVA ASUNCION
ALTO PARANA;MINGA GUAZU;ASENT. KUARAHY RESE
ALTO PARANA;SANTA ROSA DEL MONDAY;3 PIÑEROS
ALTO PARANA;SANTA ROSA DEL MONDAY;CENTRO
ALTO PARANA;SANTA ROSA DEL MONDAY;SANTA ROSA DEL MONDAY SUR
BOQUERON;MARISCAL ESTIGARRIBIA;ZONA CAMPO KAREN
ALTO PARANA;SANTA ROSA DEL MONDAY;COLONIA TORRES
SAN PEDRO;CHORE;NACIENTE
ALTO PARANA;SANTA ROSA DEL MONDAY;SAN FRANCISCO
ALTO PARANA;SANTA ROSA DEL MONDAY;BELLA VISTA
ALTO PARANA;MINGA GUAZU;ASENT. PRIMAVERA
ALTO PARANA;MINGA GUAZU;ASENT. PORVENIR
ALTO PARANA;SANTA ROSA DEL MONDAY;CURUPAYTY LINEA EL PROGRESO
ALTO PARANA;SANTA ROSA DEL MONDAY;SANTA MARIA
ALTO PARANA;SANTA RITA;SANTA LOURDES
CAAGUAZU;DR. JUAN MANUEL FRUTOS;CRISTO REY
ALTO PARANA;SANTA RITA;SAN MIGUEL 1
ALTO PARANA;SANTA RITA;CAMPIÑA VERDE SUB-URBANO
ALTO PARANA;SANTA RITA;PAKUKUA
ALTO PARANA;MINGA GUAZU;CALLE 24 ACARAY SUB-URBANO
ALTO PARANA;SANTA RITA;SINUELO
ALTO PARANA;SANTA RITA;CAMPIÑA VERDE
ALTO PARANA;SANTA RITA;FULGENCIO R. MORENO
ALTO PARANA;MINGA GUAZU;SAN BERNARDO
ALTO PARANA;MINGA GUAZU;ASENT. LAS MERCEDES
ALTO PARANA;SANTA RITA;LINEA JAKARE
ALTO PARANA;MINGA GUAZU;FRACCION LOS LAURELES
ALTO PARANA;MINGA GUAZU;FRACCION RESIDENCIAL JAZMIN II
BOQUERON;FILADELFIA;LICHTFELDE
ALTO PARANA;SANTA RITA;LINEA LA TORRE
ALTO PARANA;SANTA RITA;SAN JOSE
BOQUERON;MARISCAL ESTIGARRIBIA;ZONA  PRATTS GILL
CAAGUAZU;REPATRIACION;PINDO'I
ALTO PARANA;SANTA RITA;KA'AKUPEMI
CAAGUAZU;REPATRIACION;EUGENIO A GARAY
ALTO PARANA;MINGA GUAZU;CALLE 16 MONDAY
ALTO PARANA;MINGA GUAZU;CALLE 18 MONDAY
ALTO PARANA;MINGA GUAZU;ÑAHATY
ALTO PARANA;SANTA RITA;SAN MIGUEL 2
ALTO PARANA;SANTA RITA;SAN VICENTE
ALTO PARANA;SANTA RITA;FRACCION SHULTZ
ALTO PARANA;SANTA RITA;SAN RAMON
ALTO PARANA;MINGA GUAZU;SAN JUAN KILOMETRO 18 MONDAY
CAAGUAZU;J EULOGIO ESTIGARRIBIA;VIRGEN SERRANA
ALTO PARANA;MINGA GUAZU;CAMPO VERDE
ALTO PARANA;SANTA RITA;ESQUINA GAUCHA
